centroid_lon,centroid_lat,height,base_height,height_above_ground
-0.12458349439654495,51.49931926677919,17.5,0.0,17.5
-0.12508171360195863,51.49970937040277,21.0,0.0,21.0
-0.128132554374707,51.50040341638474,14.0,0.0,14.0
-0.12672465486524967,51.49988548748769,10.5,0.0,10.5
-0.12809707471810283,51.500899314051736,10.5,0.0,10.5
-0.1257163738458479,51.501325410246196,14.0,0.0,14.0
-0.12457352584745138,51.50070046371618,96.0,0.0,96.0
-0.12690986927037268,51.4984599468134,14.0,0.0,14.0
-0.12702371664863504,51.49850439355729,10.5,0.0,10.5
-0.12667996716712876,51.49846633216035,14.0,0.0,14.0
-0.12702215531573063,51.498688380254606,14.0,0.0,14.0
-0.12640409139157607,51.49845507174222,10.5,0.0,10.5
-0.12620609063840793,51.498611769970765,14.0,0.0,14.0
-0.1257658114235074,51.50076151167651,1.0,0.0,1.0
-0.12820868929208404,51.501038453509956,14.0,0.0,14.0
-0.12486213299429565,51.50132461159447,24.5,0.0,24.5
-0.12734092553316823,51.49897440855218,14.0,0.0,14.0
-0.12705760196426397,51.49901809978392,14.0,0.0,14.0
-0.1274100915031126,51.49940408915636,17.5,0.0,17.5
-0.12536126133236253,51.4983264124844,96.0,0.0,96.0
-0.12512558661977785,51.49942426939788,14.0,0.0,14.0
-0.1255401527590882,51.499473834142314,14.0,0.0,14.0
-0.12537122319953334,51.49988953129447,21.0,0.0,21.0
-0.12474111704665201,51.50049516586906,24.5,0.0,24.5
-0.12561818665675725,51.49998496196254,17.5,0.0,17.5
-0.1270482341908296,51.499161804163684,17.5,0.0,17.5
-0.12755912429503088,51.4988612605699,24.5,0.0,24.5
-0.1281758517971101,51.498802253471226,14.0,0.0,14.0
-0.12822942829826037,51.498896058795644,14.0,0.0,14.0
-0.12787094058186452,51.499033353022426,7.0,0.0,7.0
-0.1282890479971118,51.499170327381,17.5,0.0,17.5
-0.12831410862912443,51.49898138027372,14.0,0.0,14.0
-0.128367721635658,51.49855053615311,21.0,0.0,21.0
-0.12821528914632727,51.498621811497905,17.5,0.0,17.5
-0.12790900597981442,51.498633547884396,17.5,0.0,17.5
-0.1276676175114107,51.49864231259389,10.5,0.0,10.5
-0.1274590930928792,51.498684464134215,14.0,0.0,14.0
-0.12755055990152495,51.49848137399815,14.0,0.0,14.0
-0.12808523534059751,51.498886575945235,21.0,0.0,21.0
-0.12793777748698953,51.49884052210753,14.0,0.0,14.0
-0.12790664291603912,51.49872755925776,21.0,0.0,21.0
-0.12837665066325862,51.49890075848836,17.5,0.0,17.5
-0.12829364370656754,51.4987384607021,10.5,0.0,10.5
-0.1281576205585798,51.49869789524227,21.0,0.0,21.0
-0.12836996298107306,51.498665405072224,17.5,0.0,17.5
-0.12750123149402984,51.49840991595779,14.0,0.0,14.0
