centroid_lon,centroid_lat,height,base_height,height_above_ground
2.29410597745111,48.856612494049735,17.5,0.0,17.5
2.2934212774826315,48.857024407991474,21.0,0.0,21.0
2.296875497190972,48.85936558196226,28.0,0.0,28.0
2.29449614935617,48.85826203614618,324.0,0.0,324.0
2.2942382085787845,48.8575588746752,14.0,0.0,14.0
2.2939622296236717,48.85736286745601,17.5,0.0,17.5
2.292866149458196,48.85668335105782,28.0,0.0,28.0
2.2932318174529995,48.85720034749572,14.0,0.0,14.0
2.293091994339031,48.85663010000672,28.0,0.0,28.0
2.2944093337170033,48.857757865214346,0.0,0.0,0.0
2.2926448683913994,48.85682446164949,28.0,0.0,28.0
2.2927180000081324,48.85743435000081,14.0,0.0,14.0
2.2941224157303037,48.8572801090867,14.0,0.0,14.0
2.294392381283662,48.857450431628905,17.5,0.0,17.5
2.2947500753521193,48.85691713689532,3.5,0.0,3.5
2.292766457204609,48.85674599212219,28.0,0.0,28.0
2.2926863279933216,48.85678759305643,14.0,0.0,14.0
2.2926136645101174,48.85696546309901,28.0,0.0,28.0
2.29270974418485,48.856783404093306,17.5,0.0,17.5
2.2966996434714777,48.857839228558156,21.0,0.0,21.0
2.296617901603118,48.85953271812593,31.5,0.0,31.5
2.293960900000567,48.85881110000029,21.0,0.0,21.0
2.2941878768026456,48.858725632393195,3.0,0.0,3.0
2.294164169062804,48.85740212333748,21.0,0.0,21.0
2.2956560790922733,48.85834216248467,21.0,0.0,21.0
2.2946711704235074,48.85938076658225,17.5,0.0,17.5
2.2926674622717824,48.859033602008374,10.5,0.0,10.5
2.2935501727317584,48.857353614921465,3.5,0.0,3.5
