PCI,latitude,longitude,device,rsrp
F,36.00267704,-78.93595184,Samsung,-117
F,36.0026472,-78.93606516,Samsung,-118
F,36.00261296,-78.9360829,Samsung,-116
F,36.00206909,-78.93614448,Samsung,-112
F,36.00202679,-78.9361819,Samsung,-110
F,36.00123587,-78.93680661,Samsung,-104
F,36.00159961,-78.93645306,Samsung,-109
F,36.00124109,-78.93675188,Samsung,-108
F,36.00268195,-78.93592527,Samsung,-121
F,36.00252018,-78.93616503,Samsung,-115
E,36.0027507,-78.93673771,Samsung,-125
F,36.0025203,-78.93617961,Samsung,-118
F,36.0018844,-78.93634715,Samsung,-101
E,36.00269218,-78.93664006,Samsung,-123
F,36.00254251,-78.93623184,Samsung,-117
F,36.00201164,-78.93619844,Samsung,-107
F,36.00147256,-78.93651751,Samsung,-106
F,36.00263116,-78.9363937,Samsung,-113
F,36.00123123,-78.93677754,Samsung,-108
F,36.00189034,-78.9364047,Samsung,-100
F,36.00193824,-78.93627931,Samsung,-108
F,36.00173386,-78.93634801,Samsung,-103
F,36.00125184,-78.93672768,Samsung,-110
F,36.00127447,-78.93669246,Samsung,-109
F,36.00266613,-78.9365088,Samsung,-113
F,36.00266697,-78.93597532,Samsung,-116
F,36.00189061,-78.93646182,Samsung,-98
C,35.9997934,-78.93712173,Samsung,-127
C,35.9997222,-78.93700164,Samsung,-123
D,36.00002562,-78.93731451,Samsung,-115
C,35.99994878,-78.93740371,Samsung,-113
F,36.00130146,-78.93683132,Samsung,-100
F,36.00188612,-78.93638442,Samsung,-100
F,36.00190098,-78.93632236,Samsung,-105
F,36.00140696,-78.93681826,Samsung,-104
E,36.00294861,-78.93718871,Samsung,-112
C,36.00015476,-78.93745277,Samsung,-116
F,36.00137107,-78.93684415,Samsung,-99
F,36.00269218,-78.93664006,Samsung,-110
F,36.00270565,-78.93585304,Samsung,-116
F,36.00189002,-78.93641534,Samsung,-99
C,35.99994236,-78.9372375,Samsung,-133
C,35.99997385,-78.93726697,Samsung,-133
F,36.00132244,-78.93683993,Samsung,-107
F,36.00199194,-78.93624043,Samsung,-108
D,35.9998843,-78.93717325,Samsung,-117
F,36.00128413,-78.93682894,Samsung,-99
C,36.00019755,-78.93747593,Samsung,-128
