centroid_lon,centroid_lat,height,base_height,height_above_ground
-78.94253707156139,36.00328923044097,10.5,0.0,10.5
-78.94213572843981,36.00158247703772,21.0,0.0,21.0
-78.93915171375973,36.00511523480089,17.5,0.0,17.5
-78.9399022688808,36.00120201197979,14.0,0.0,14.0
-78.93686312831538,36.00495887664311,14.0,0.0,14.0
-78.94353568035845,36.0027772102469,7.0,0.0,7.0
-78.94172761985845,36.004539883863394,17.5,0.0,17.5
-78.93981355961282,36.00335009342989,10.5,0.0,10.5
-78.93865830854836,36.00180425086144,10.5,0.0,10.5
-78.93829299990053,36.00296400019123,14.0,0.0,14.0
-78.93933346188648,36.001901116523875,17.5,0.0,17.5
-78.9394059286944,36.00232439285343,17.5,0.0,17.5
-78.93978286521026,36.00227285952129,21.0,0.0,21.0
-78.9382601308844,36.00222747328384,17.5,0.0,17.5
-78.93812902854764,36.00214125266669,17.5,0.0,17.5
-78.93748835714202,36.00116262494342,14.0,0.0,14.0
-78.9373890997962,36.00175059034687,14.0,0.0,14.0
-78.93618035094069,36.00363235442852,14.0,0.0,14.0
-78.93687154236866,36.00242382959235,14.0,0.0,14.0
-78.93775741873722,36.002769974151185,14.0,0.0,14.0
-78.93873186886506,36.003573682969275,14.0,0.0,14.0
-78.94044591083404,36.004143235420116,21.0,0.0,21.0
-78.94104031681574,36.003846656439265,14.0,0.0,14.0
-78.94314786048581,36.00223317141861,17.5,0.0,17.5
-78.94094441273332,36.00546147043129,17.5,0.0,17.5
-78.93802082429002,36.00545826716816,21.0,0.0,21.0
-78.9379668049285,36.004540232015174,14.0,0.0,14.0
-78.93830984874599,36.00043312100658,14.0,0.0,14.0
-78.93788650015574,36.00011569700706,14.0,0.0,14.0
-78.9380496287443,35.99979217708845,14.0,0.0,14.0
-78.93863380499583,36.000167558509496,17.5,0.0,17.5
-78.93850151483821,36.000006894744295,10.5,0.0,10.5
-78.93882869377238,35.99987666252739,17.5,0.0,17.5
-78.93952365102237,36.000197341035374,21.0,0.0,21.0
-78.93969998575143,35.999931170444356,14.0,0.0,14.0
-78.94031101505294,35.99981865193221,17.5,0.0,17.5
-78.94019335639489,36.00001834155162,7.0,0.0,7.0
-78.93997039464762,36.00012415699055,24.5,0.0,24.5
-78.93858849522307,36.0023209643767,7.0,0.0,7.0
-78.94379177426403,36.004619220496956,14.0,0.0,14.0
-78.94294215048657,36.004098515640436,14.0,0.0,14.0
-78.94312436154847,36.00377905704326,17.5,0.0,17.5
-78.94317238138298,36.00475874114898,17.5,0.0,17.5
-78.94367175068433,36.0044078185486,14.0,0.0,14.0
-78.94269099004545,36.0046546429125,10.5,0.0,10.5
-78.93939329365374,36.00076645194081,14.0,0.0,14.0
-78.94114877487623,36.00105611050682,10.5,0.0,10.5
-78.94088492590183,36.00014624752515,14.0,0.0,14.0
-78.94163031080352,35.99965424376504,21.0,0.0,21.0
-78.94023205380886,36.00187873476386,14.0,0.0,14.0
-78.93986341061301,36.0035044779255,14.0,0.0,14.0
-78.93805732792585,36.00343805775769,14.0,0.0,14.0
