overture_building_or_part_id,overture_parent_building_id,centroid_lon,centroid_lat,height,base_height,height_above_ground
a1b1d0d5-ebe8-4eb9-8ca6-d6e4c0bb34e4,N/A,-78.94314786048582,36.00223317141862,14.0,0.0,14.0
44c1bf9d-622b-4c3d-bc80-4287d7bf28ea,N/A,-78.94353568035845,36.00277721024691,14.0,0.0,14.0
12332533-829c-4f4d-9f27-22888ffb46d4,N/A,-78.94312436154847,36.003779057043246,17.5,0.0,17.5
7b81b3bf-7ad5-4864-aea3-89ef6709ff25,N/A,-78.94253707156139,36.00328923044098,14.0,0.0,14.0
4db19a2f-d8ca-4496-bdd3-e1c74d0d55c9,N/A,-78.94104031681573,36.00384665643927,14.0,0.0,14.0
bdac1097-8d44-46e0-a524-28637a1e9fc1,N/A,-78.94317238138298,36.00475874114898,10.5,0.0,10.5
70587643-d32d-42a0-9519-ac477f7ca2d8,N/A,-78.94294215048657,36.004098515640436,14.0,0.0,14.0
63bbbdd4-67d8-485f-8541-d6768b3eaa03,N/A,-78.94367175068433,36.004407818548586,10.5,0.0,10.5
5f503964-085f-4c21-a2f9-29f30a496003,N/A,-78.93764484996433,36.00485635002692,14.0,0.0,14.0
0d23092d-80af-4f68-85df-5ae8e8bf78c2,N/A,-78.93686312831538,36.00495887664311,14.0,0.0,14.0
4f960c17-6227-48ea-b46d-2608c3cfa3ca,N/A,-78.93986341061301,36.0035044779255,17.5,0.0,17.5
b6ac2ff6-6711-4a6c-af2a-f521add023fd,N/A,-78.93829299990053,36.00296400019121,21.0,0.0,21.0
dc1fadee-13da-4d60-9da4-a55a4be026e2,N/A,-78.93940592869441,36.00232439285343,17.5,0.0,17.5
03b2e94e-2bb7-4b80-9feb-8d804bbf7d94,N/A,-78.93978286521028,36.00227285952128,14.0,0.0,14.0
0cb2c0f3-518d-4355-83f6-9fa95ca7f7fd,N/A,-78.93933346188648,36.00190111652389,17.5,0.0,17.5
70006196-ceff-45d3-9784-2b39e3e3cb87,N/A,-78.93865830854836,36.00180425086145,17.5,0.0,17.5
35e70433-9f1b-4da7-a693-c2a040d7c777,N/A,-78.93858849522307,36.002320964376715,17.5,0.0,17.5
ed089640-1828-48cc-82c0-48058745c168,N/A,-78.9382601308844,36.00222747328384,17.5,0.0,17.5
635a00e3-8094-41ba-996c-bce320f97ddc,N/A,-78.93812902854762,36.002141252666696,14.0,0.0,14.0
8d980a54-be05-4f95-b676-3a2e5b3fa15f,N/A,-78.9380496287443,35.999792177088445,14.0,0.0,14.0
594bfc7d-d384-409c-a458-7d8f17c8e10c,N/A,-78.93882869377238,35.99987666252739,17.5,0.0,17.5
8fe943d9-ca83-4bdc-a333-21174d29c952,N/A,-78.94031101505294,35.99981865193221,17.5,0.0,17.5
1d943d17-69ba-4a8a-93d4-a291c5118d1b,N/A,-78.94019335639489,36.00001834155162,10.5,0.0,10.5
